Storm,Saffir-Simpson_Category,Date of landfall,Year,Landfall Intensity_knots,Landfall Location
Unnamed,3,Aug-19,1879,100,Cape Lookout
San Ciriaco,3,Aug-18,1899,105,Hatteras
Unnamed,3,Sep-16,1933,100,Ocracoke
Great Atlantic Hurricane,3,Sep-14,1944,100,Cape Hatteras
Hurricane Hazel,4,Oct-15,1954,115,Near South Carolina/
Hurricane Connie,3,Aug-12,1955,100,Portsmouth
Hurricane Ione,3,Sep-19,1955,100,Morehead City
Hurricane Helene,3,Sep-27,1958,100,Offshore Outer Banks
Hurricane Donna,3,Sep-12,1960,100,Emerald Isle
Hurricane Diana,3,Sep-13,1984,100,Cape Fear
Hurricane Emily,3,Aug-31,1993,100,Offshore Hatteras Island
Hurricane Fran,3,Sep-05,1996,100[17],Cape Fear
